Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
925-silver-alloy-bracelet,925 Silver Alloy Silver Bracelet,925 Silver Alloy Silver Bracelet - Buy 925 Silver Alloy Silver Bracelet only for Rs. 0.0 from bundl.it. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,925 Silver,Jewellery,Jewellery,TRUE,Color,Multicolor,Pack of,1,Type,Bracelet,,100,shopify,50,deny,manual,26.36,28.14,TRUE,TRUE,,http://img5a.flixcart.com/image/bangle-bracelet-armlet/b/p/d/us2609-free-size-925-silver-1-original-imadsf9gfdpchf3h.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
925-silver-alloy-bracelet,,,,,,,Color,"Red, White",Pack of,1,Type,Bracelet,BBADSEZDGGWGZZBA,100,shopify,50,deny,manual,26.36,28.14,TRUE,TRUE,,http://img6a.flixcart.com/image/bangle-bracelet-armlet/z/b/a/us921-free-size-925-silver-1-original-imadsfaysj9tqngu.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
925-silver-alloy-bracelet,,,,,,,Color,Multicolor,Pack of,1,Type,Bracelet,BBADSEZDY866N8E3,100,shopify,50,deny,manual,26.36,28.14,TRUE,TRUE,,http://img5a.flixcart.com/image/bangle-bracelet-armlet/8/e/3/us894-free-size-925-silver-1-original-imadsf9fzwk52hzz.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
925-silver-alloy-bracelet,,,,,,,Color,"White, Green",Pack of,1,Type,Bracelet,BBADSEZDGVYZWJSE,100,shopify,50,deny,manual,26.36,28.14,TRUE,TRUE,,http://img5a.flixcart.com/image/bangle-bracelet-armlet/j/s/e/us849-free-size-925-silver-1-original-imadsf9zzcghprxx.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
trilokani-bellies,Trilokani Bellies,"Key Features of Trilokani Bellies GOOD LOOKING WEDGES PARTY WEAR WEDGES DESIGNER WEDGES REASONABLE WEDGES,Trilokani Bellies Price: CAD $24.60 These are trilokani Branded Designer Belly,with exquisite and Stylish Looks,Feet-Friendly and comfortable in nature. Get it and Wrap your feet in Style,Comfort and Pleasure,Specifications of Trilokani Bellies General Ideal For Women Occasion Casual Shoe Details Sole Material AIRMAX Closure SLIP-ON Weight 290 g (per single Shoe) - Weight of the product may vary depending on size. Inner Material NAPPA Heel Height 3 inch Outer Material Patent Leather Color Red Additional Details Care Instructions 1-Shoe Need That Extra Bit Of Care 2-Stains Can Easily Result When The Shoe Come In Contact With Rain Or Salt And Will Come Across As Looking Scuffed 3-Simple Shoe Care Rituals Such As Clean With A Damp Cloth Gently 4-Wipe Your Footwear With A Soft And Dry Cloth.",Trilokani,Footwear,Footwear,TRUE,Color,Red,,,,,,100,shopify,50,deny,manual,11.4,24.6,TRUE,TRUE,,http://img5a.flixcart.com/image/shoe/3/g/a/red-t125-trilokani-41-original-imaegh2qznfvaz55.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
radiant-bay-classic-solitaire-white-gold-diamond-14-k-ring,Radiant Bay Classic Solitaire White Gold Diamond 14 K Ring,"Radiant Bay Classic Solitaire White Gold Diamond 14 K Ring
                         Price: CAD $676.81
				
			This beautiful ring holds 41 diamonds with a total diamond weight of 0.33 carat. 
Top Width : 3.9mm, 
Shank Width : 1.4 mm.
 Diamond Quality : VS-GH
This beautiful ring holds 41 diamonds with a total diamond weight of 0.33 carat. 
Top Width : 3.9mm, 
Shank Width : 1.4 mm.
 Diamond Quality : VS-GH",Radiant Bay,Jewellery,Jewellery,TRUE,Color,White,Pack of,1,Type,Ring,,100,shopify,50,deny,manual,541.45,676.81,TRUE,TRUE,,http://img6a.flixcart.com/image/ring/w/h/z/rp026662-wg-14k-vs-gh-22-radiant-bay-ring-1100x1100-imaed75zkumug64a.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
akup-i-love-my-mom-ceramic-mug,AKUP i-love-my-mom Ceramic Mug,"Key Features of AKUP i-love-my-mom Ceramic Mug Pack of 1 Mug,AKUP i-love-my-mom Ceramic Mug (300 ml) Price: CAD $8.80 AKUP Ceramic coffee mugs gives you the best quality printed mugs which you can gift to your loved ones. We provide good quality of products with packing. Coffee mugs made of ceramic clay with the volume capacity of 300ml each. You can buy it for yourself to make your moment unforgettable forever. Specifications Product Dimensions: Mugs - Height: 9.5 cms, Diameter: 8 cms. Item Type: Coffee Mug Color: Multi-Color Material: Clay Finish: Glossy Specialty: Lovely Style Wash care: Remove dirt by using a soft fabric to clean and then wipe with a moist cloth. Disclaimer: The fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality. Brand: AKUP designs & co,Specifications of AKUP i-love-my-mom Ceramic Mug (300 ml) General Type Mug Mug Capacity 300 ml Material Ceramic Freezer Safe Yes Microwave Safe No Dimensions Diameter 8 mm Weight 330 g Height 9.5 mm Depth 8 mm In the Box Sales Package 1 Mug",AKUP,Kitchen & Dining,Kitchen & Dining,TRUE,Material,Ceramic,Type,Mug,,,,100,shopify,50,deny,manual,4.56,8.8,TRUE,TRUE,,http://img6a.flixcart.com/image/mug/f/e/n/1-akup-i-love-my-mom-1100x1100-imaegtmwdhhwdvs3.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
olvin-wayfarer-sunglasses,Olvin Wayfarer Sunglasses,"Key Features of Olvin Wayfarer Sunglasses Face Type - Round Frame Type - Full-frame Polarized - No UV Protection - 0.98,Specifications of Olvin Wayfarer Sunglasses General Style Wayfarer Style Code OL325-04 Ideal For Men, Women Usage Style Dimensions Sunglass Weight 100 g Size This product is sold as M by the Brand Features & Functions Lens Polarization No Lens Color Green Frame material Plastic Lens Material Acrylic Lens Gradient None Frame Type Full-frame UV Protection 0.98 Frame Color Brown Lens Mirror Finish No In the Box Sales Package 1 Sunglass, 1 Case",Olvin,Olvin Wayfarer Sunglasses,,TRUE,Size,This product is sold as M by the Brand,,,,,,100,shopify,50,deny,manual,10.54,17.58,TRUE,TRUE,,http://img5a.flixcart.com/image/sunglass/n/d/h/ol325-04-olvin-m-1100x1100-imaegbr9d2hn2rks.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
olvin-wayfarer-sunglasses,,,,,,,Size,This product is sold as M by the Brand,,,,,SGLEGBV7VGZM7BFR,100,shopify,50,deny,manual,8.78,15.82,TRUE,TRUE,,http://img6a.flixcart.com/image/sunglass/b/f/r/ol314-05-olvin-m-1100x1100-imaegbr9ruv8qsh3.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
olvin-wayfarer-sunglasses,,,,,,,Size,This product is sold as M by the Brand,,,,,SGLEGBV65VHSPDC8,100,shopify,50,deny,manual,10.54,17.58,TRUE,TRUE,,http://img5a.flixcart.com/image/sunglass/d/c/8/ol325-02-olvin-m-1100x1100-imaegbr9jw4r256z.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
