Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
empire-flip-cover-samsung-galaxy-tab-4-8-0-lte,"Empire Flip Cover for Samsung Galaxy Tab 4 8.0 Lte","Empire Flip Cover for Samsung Galaxy Tab 4 8.0 Lte (White)                         Price: CAD $43.60       The MPERO Series has combined its popular protective case and a flip wallet to create beautifully crafted MPERO FLEX FLIP Wallet Case. Featuring a high quality and durable slim-fit case built into a sleek Faux Leather wallet with magnetic latch. The FLEX FLIP Wallet Case has 2 slots designed to hold your cards and I.D., plus an inner bonus pocket great for storing cash, and a magnetic closure to secure it all. So ditch the bulky wallet or purse and enjoy a night on the town! If you want genuine quality with style, get the MPERO FLEX FLIP Wallet Case.The MPERO Series has combined its popular protective case and a flip wallet to create beautifully crafted MPERO FLEX FLIP Wallet Case. Featuring a high quality and durable slim-fit case built into a sleek Faux Leather wallet with magnetic latch. The FLEX FLIP Wallet Case has 2 slots designed to hold your cards and I.D., plus an inner bonus pocket great for storing cash, and a magnetic closure to secure it all. So ditch the bulky wallet or purse and enjoy a night on the town! If you want genuine quality with style, get the MPERO FLEX FLIP Wallet Case.","Empire","Mobiles & Accessories","Mobiles & Accessories",TRUE,Color,"White",Material,"Leather",,,,100,shopify,50,deny,manual,28.72,43.6,TRUE,TRUE,,http://img6a.flixcart.com/image/cases-covers/flip-cover/8/b/z/empire-ff-sgt48-mt-1100x1100-imaedwwzauc9hh6h.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
global-ganesha-lord-showpiece-15-24-cm,"Global Ganesha Lord Ganesha Showpiece  -  15.24 cm","Buy Global Ganesha Lord Ganesha Showpiece  -  15.24 cm for CAD $8.80 online. Global Ganesha Lord Ganesha Showpiece  -  15.24 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.","Global Ganesha","Home Decor & Festive Needs","Home Decor & Festive Needs",TRUE,Color,"Multicolor",Material,"Terracotta",Type,"Religious Idols",,100,shopify,50,deny,manual,8.8,8.8,TRUE,TRUE,,http://img6a.flixcart.com/image/showpiece-figurine/k/k/y/12030-global-ganesha-original-imae4ccmh27qqzsz.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
pink-pearl-pd-1510-women-s-full-coverage-bra,"Pink Pearl PD-1510 Women's Full Coverage Bra","Pink Pearl PD-1510 Women's Full Coverage Bra - Buy Multicolor Pink Pearl PD-1510 Women's Full Coverage Bra For Only CAD $14.06 Online in Canada. Shop Online For Apparels. Huge Collection of Branded Clothes Only at bundl.it","Multicolor","Clothing","Clothing",TRUE,Number of Contents in Sales Package,"Pack of 1",Pattern,"Animal Print",color,"Multicolor",,100,shopify,50,deny,manual,6.49,14.06,TRUE,TRUE,,http://img5a.flixcart.com/image/bra/w/d/u/tiger-print-pink-pearl-34-original-imaebugfkduxajx3.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
femina-kadhai-2-5-l,"Femina Kadhai 2.5 L","Femina Kadhai 2.5 L (Aluminium, Non-stick)                         Price: CAD $11.44       Preserve Nutrients in Food, Long life, Lower gas consumption, Oil free cooking.Preserve Nutrients in Food, Long life, Lower gas consumption, Oil free cooking.","Femina","Kitchen & Dining","Kitchen & Dining",TRUE,Color,"Black",Material,"Aluminium",Type,"Kadhai",,100,shopify,50,deny,manual,10.3,11.44,TRUE,TRUE,,http://img5a.flixcart.com/image/pot-pan/b/v/n/femina-15-femina-1100x1100-imaeb6xnngqaebv8.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
rpb-casual-3-4-sleeve-solid-girl-s-top,"RPB Casual 3/4 Sleeve Solid Girl's Top","Key Features of RPB Casual 3/4 Sleeve Solid Girl's Top RPB Black,Specifications of RPB Casual 3/4 Sleeve Solid Girl's Top Top Details Sleeve 3/4 Sleeve Number of Contents in Sales Package Pack of 1 Fabric Rayon Type Top Neck V-Neck General Details Pattern Solid Ideal For Girl's Occasion Casual","RPB","Clothing","Clothing",TRUE,Number of Contents in Sales Package,"Pack of 1",Pattern,"Solid",Type,"Top",,100,shopify,50,deny,manual,9.66,17.58,TRUE,TRUE,,http://img6a.flixcart.com/image/top/z/g/7/top2026-rpb-44-original-imaeyp2fn5fyaq83.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
fourgee-slim-fit-boy-s-blue-jeans,"fourgee Slim Fit Boy's Blue Jeans","Key Features of fourgee Slim Fit Boy's Blue Jeans Rise: Mid Rise Color: Blue Standard Fit: Slim,fourgee Slim Fit Boy's Blue Jeans Price: CAD $35.20 Let your champ step out in style with this pair of jeans, which is presented by the reputed brand of Fourgee. These jeans come with a comfortable and trendy look that will make a neat addition to the wardrobe of your kid. It will make him look great in its slim fit style and is best suited for casual wear. It is made of premium quality denim material, which will remain soft to skin for long. Your kid will look great by complementing it with a pair of casual or printed shirt and sneakers.,Specifications of fourgee Slim Fit Boy's Blue Jeans Jeans Details Brand Color blue Closure Button Number of Contents in Sales Package Pack of 1 Brand Fit Slim Fabric Denim Rise Mid Rise Fly Zipper General Details Pattern Self Design Ideal For Boy's Additional Details Style Code d4 Fabric Care Do Not Bleach In the Box 1 Jean","fourgee","Clothing","Clothing",TRUE,Number of Contents in Sales Package,"Pack of 1",Pattern,"Self Design",,,,100,shopify,50,deny,manual,9.84,35.2,TRUE,TRUE,,http://img6a.flixcart.com/image/jean/k/z/w/4mx1-fourgee-13-14-years-1000x1000-imaehymws3rxugnj.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
addee-leather-black-16-l-backpack,"addee Leather black 16 L Backpack","Key Features of addee Leather black 16 L Backpack Ideal For: Boys, Girls No of Compartments: 2 Laptop Sleeve: No,Specifications of addee Leather black 16 L Backpack (Black) General Trolley Support No Type Backpack Laptop Sleeve No Style Code LEABLACK Compatible Laptop Size 15.6 Capacity 16 L Ideal For Boys, Girls Color Code Black Body Features Number of Compartments 2","addee","Toys & School Supplies","Toys & School Supplies",TRUE,Type,"Backpack",,,,,,100,shopify,50,deny,manual,26.38,52.78,TRUE,TRUE,,http://img5a.flixcart.com/image/backpack/e/n/p/leablack-addee-backpack-leather-black-original-imaehrxhrzhn7gnn.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
tapawire-portable-usb-flexible-stick-dimmable-touch-switch-10-super-bright-led-reading-lamp-b00-light,"Tapawire Portable USB Flexible Stick Dimmable Touch Switch 10 Super Bright LED Reading Lamp B00 USB Led Light","Buy Tapawire Portable USB Flexible Stick Dimmable Touch Switch 10 Super Bright LED Reading Lamp B00 USB Led Light for CAD $12.30 online. Tapawire Portable USB Flexible Stick Dimmable Touch Switch 10 Super Bright LED Reading Lamp B00 USB Led Light at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.","Tapawire","Computers","Computers",TRUE,Color,"Silver",Material,"Metal",Type,"Led Light",,100,shopify,50,deny,manual,7.9,12.3,TRUE,TRUE,,http://img5a.flixcart.com/image/usb-gadget/j/n/h/b00-tapawire-1100x1100-imaedrmtafxgdrhe.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
tenda-te-d151-n150-wireless-adsl2-modem-router,"Tenda TE-D151 N150 Wireless ADSL2+ Modem Router","Buy Tenda TE-D151 N150 Wireless ADSL2+ Modem Router only for CAD $49.28 from bundl.it. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!","Tenda","Computers","Computers",TRUE,Color,"White",Type,"Wireless With Modem",,,,100,shopify,50,deny,manual,19.45,49.28,TRUE,TRUE,,http://img5a.flixcart.com/image/router/5/y/t/tenda-te-d151-original-imadzh72ufsbe2pr.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
ruchikainternational-ruc0013-showpiece-13-cm,"Ruchikainternational ruc0013 Showpiece  -  13 cm","Buy Ruchikainternational ruc0013 Showpiece  -  13 cm for CAD $17.58 online. Ruchikainternational ruc0013 Showpiece  -  13 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.","Ruchikainternational","Home Decor & Festive Needs","Home Decor & Festive Needs",TRUE,Color,"Silver",Material,"Aluminium",Type,"Ethnic",,100,shopify,50,deny,manual,9.66,17.58,TRUE,TRUE,,http://img5a.flixcart.com/image/showpiece-figurine/z/q/n/ruc0013-ruchikainternational-1100x1100-imaecgh8duqa2kgq.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
